batchsize,cbor,lzma,zlib,lz4,zstd,brotli
1, 45, 2.311111111111111, 1.2444444444444445, 1.511111111111111, 1.2, 1.0888888888888888
2, 97, 1.5670103092783505, 1.0103092783505154, 1.175257731958763, 1.0309278350515463, 1.041237113402062
3, 149, 1.2348993288590604, 0.8389261744966443, 0.9664429530201343, 0.8456375838926175, 0.912751677852349
4, 193, 1.0569948186528497, 0.772020725388601, 0.8911917098445595, 0.7772020725388601, 0.8497409326424871
5, 261, 0.9501915708812261, 0.7279693486590039, 0.8275862068965517, 0.7394636015325671, 0.7701149425287356
6, 313, 0.8562300319488818, 0.6805111821086262, 0.7795527156549521, 0.6869009584664537, 0.7060702875399361
7, 365, 0.810958904109589, 0.6520547945205479, 0.736986301369863, 0.6547945205479452, 0.7068493150684931
8, 417, 0.7865707434052758, 0.6474820143884892, 0.7338129496402878, 0.6474820143884892, 0.7170263788968825
9, 469, 0.7420042643923241, 0.6226012793176973, 0.7057569296375267, 0.6183368869936035, 0.7036247334754797
10, 537, 0.7150837988826816, 0.6163873370577281, 0.6945996275605214, 0.6108007448789572, 0.5977653631284916
20, 1073, 0.5852749301025163, 0.5563839701770736, 0.625349487418453, 0.5125815470643057, 0.5051258154706431
30, 1594, 0.5219573400250941, 0.5188205771643664, 0.5834378920953576, 0.46361355081555833, 0.47051442910915936
40, 2146, 0.4976700838769804, 0.5097856477166822, 0.5717614165890028, 0.4482758620689655, 0.4547996272134203
50, 2666, 0.47561890472618157, 0.4891222805701425, 0.5558889722430608, 0.43210802700675166, 0.4384846211552888
60, 3202, 0.46595877576514677, 0.4790755777638976, 0.5468457214241099, 0.42723297938788257, 0.4322298563397876
70, 3754, 0.46030900372935535, 0.474160895045285, 0.5442194992008524, 0.42408098028769314, 0.42860948321790093
80, 4274, 0.45016378100140386, 0.4679457182966776, 0.5360318203088442, 0.4155357978474497, 0.41951333645297145
90, 4810, 0.44241164241164244, 0.4625779625779626, 0.5316008316008316, 0.41164241164241167, 0.4139293139293139
100, 5346, 0.4377104377104377, 0.4588477366255144, 0.5278713056490835, 0.40852974186307517, 0.4100261878039656
110, 5866, 0.4302761677463348, 0.45329014660756906, 0.5238663484486874, 0.4038527105352881, 0.40640981929764747
120, 6418, 0.42505453412277966, 0.45076347771891556, 0.5215020255531319, 0.40168276721720164, 0.40339669679027734
130, 6946, 0.4232651885977541, 0.4501871580765908, 0.5201554851713216, 0.40238986467031385, 0.404405413187446
140, 7466, 0.41843021698365923, 0.44682560942941335, 0.5167425663005626, 0.3987409590141977, 0.3994106616662202
150, 8018, 0.4165627338488401, 0.4466201047642804, 0.5157146420553754, 0.3981042654028436, 0.39972561736093787
160, 8554, 0.414309095160159, 0.44552256254383915, 0.5142623334112696, 0.39759176993219547, 0.39782557867664253
170, 9106, 0.4133538326378212, 0.44509114869316935, 0.513946848231935, 0.3973204480562267, 0.39885789589281795
180, 9634, 0.4110442183931908, 0.4439485156736558, 0.5124558854058543, 0.3960971559061657, 0.39630475399626325
190, 10154, 0.40850896198542447, 0.4423872365570219, 0.5105377191254677, 0.3941303919637581, 0.3944258420326965
200, 10706, 0.4065010274612367, 0.44208854847748924, 0.5099943956659817, 0.39473192602279095, 0.3935176536521577
