"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"2485128",2020-07-18 01:27:03,84752,0.0096,150198.529414062,3750,59.19862,-68.493034,"2","mof_rts_00013",0.121952113404404,2020-07-18 03:27:03,"time_drift",0.000635385513305664,"A",27
"2488034",2020-07-18 01:27:03,472464,0.0096,150198.035710938,6875,71.772285,-66.570961,"3","mof_rts_00013",0.371751010592561,2020-07-18 03:27:03,"time_drift",0.208000183105469,"A",27
"2488035",2020-07-18 01:27:03,473520,0.0096,150197.760414062,5000,49.228382,-66.570961,"3","mof_rts_00013",0.647047886595829,2020-07-18 03:27:03,"time_drift",0.199384927749634,"A",27
"2477568",2020-07-18 01:27:04,480528,0.0096,150198.18596875,10000,74.942192,-69.615395,"0","mof_rts_00013",0.221493198594544,2020-07-18 03:27:04,"time_drift",0.0233304500579834,"A",27
"2481552",2020-07-18 01:27:04,3e+05,0.0128,150198.602945312,7500,69.626381,-72.064667,"1","mof_rts_00013",0.19548336340813,2020-07-18 03:27:04,"time_drift",0.0754978656768799,"A",27
"2488036",2020-07-18 01:27:04,475200,0.0128,150198.75,3750,49.841881,-67.424828,"3","mof_rts_00013",0.342538051394513,2020-07-18 03:27:04,"time_drift",0.0447998046875,"A",27
"2488037",2020-07-18 01:27:04,475408,0.0128,150197.958328125,7500,71.847855,-66.570961,"3","mof_rts_00013",0.44913382359664,2020-07-18 03:27:04,"time_drift",0.147276878356934,"A",27
"2477569",2020-07-18 01:27:04,483440,0.0096,150198.417960938,8124.999512,71.284065,-69.615395,"0","mof_rts_00013",0.0104989894025493,2020-07-18 03:27:04,"time_drift",0.023334264755249,"A",27
"2481553",2020-07-18 01:27:04,302896,0.0096,150198.444429688,11875,74.990768,-72.064667,"1","mof_rts_00013",0.0369677394046448,2020-07-18 03:27:04,"time_drift",0.113266944885254,"A",27
"2485129",2020-07-18 01:27:04,90560,0.0096,150198.66071875,3125,57.944901,-68.493034,"2","mof_rts_00013",0.253256801399402,2020-07-18 03:27:04,"time_drift",0.291459083557129,"A",27
"2477570",2020-07-18 01:27:05,486432,0.0096,150198.4375,5000,61.479942,-69.615395,"0","mof_rts_00013",0.0300380513945129,2020-07-18 03:27:05,"time_drift",0.00413870811462402,"A",27
"2481554",2020-07-18 01:27:05,305792,0.0096,150198.532601562,6250,65.27272,-72.064667,"1","mof_rts_00013",0.125139613403007,2020-07-18 03:27:05,"time_drift",0.107499361038208,"A",27
"2488038",2020-07-18 01:27:05,481152,0.0128,150197.381757812,9375,71.97113,-66.570961,"3","mof_rts_00013",1.02570413661306,2020-07-18 03:27:05,"time_drift",0.00896620750427246,"A",27
"2485130",2020-07-18 01:27:05,93472,0.0096,150198.75,3125,57.071327,-68.493034,"2","mof_rts_00013",0.342538051394513,2020-07-18 03:27:05,"time_drift",0.154305696487427,"A",27
"2481555",2020-07-18 01:27:05,308688,0.0096,150198.454859375,10000,72.186111,-72.064667,"1","mof_rts_00013",0.0473974263877608,2020-07-18 03:27:05,"time_drift",0.0499012470245361,"A",27
"2488039",2020-07-18 01:27:05,483744,0.0096,150198.041664062,8124.999512,72.018875,-66.570961,"3","mof_rts_00013",0.365797886595828,2020-07-18 03:27:05,"time_drift",0.000369071960449219,"A",27
"2477571",2020-07-18 01:27:05,489600,0.0096,150198.260867188,6250,66.242287,-69.615395,"0","mof_rts_00013",0.146594760619337,2020-07-18 03:27:05,"time_drift",0.0693976879119873,"A",27
"2485131",2020-07-18 01:27:05,96384,0.0096,150198.75,3125,57.348602,-68.493034,"2","mof_rts_00013",0.342538051394513,2020-07-18 03:27:05,"time_drift",0.0969994068145752,"A",27
"2477572",2020-07-18 01:27:06,490432,0.0096,150198.310171875,6875,68.684669,-69.615395,"0","mof_rts_00013",0.0972900736087468,2020-07-18 03:27:06,"time_drift",0.194459676742554,"A",27
"2481556",2020-07-18 01:27:06,311584,0.0096,150198.888882812,13750,77.470627,-72.064667,"1","mof_rts_00013",0.481420863390667,2020-07-18 03:27:06,"time_drift",0.122868537902832,"A",27
"2485132",2020-07-18 01:27:06,99296,0.0096,150198.671867188,2500,51.365883,-68.493034,"2","mof_rts_00013",0.264405239402549,2020-07-18 03:27:06,"time_drift",0.115829706192017,"A",27
"2488040",2020-07-18 01:27:06,487584,0.0096,150198.125,5000,49.397442,-67.545258,"3","mof_rts_00013",0.282461948605487,2020-07-18 03:27:06,"time_drift",0.316802978515625,"A",27
"2488041",2020-07-18 01:27:06,489232,0.016,150196.678921875,10000,71.843773,-66.570961,"3","mof_rts_00013",1.72854007361457,2020-07-18 03:27:06,"time_drift",0.0236995220184326,"A",27
"2481557",2020-07-18 01:27:06,314496,0.0128,150198.6328125,10000,74.169975,-72.064667,"1","mof_rts_00013",0.225350551394513,2020-07-18 03:27:06,"time_drift",0.277466058731079,"A",27
"2477573",2020-07-18 01:27:07,496528,0.0096,150198.552632812,4375,60.279331,-69.615395,"0","mof_rts_00013",0.145170863397652,2020-07-18 03:27:07,"time_drift",0.136861562728882,"A",27
"2481558",2020-07-18 01:27:07,317392,0.0096,150199.0625,6250,68.18119,-72.064667,"1","mof_rts_00013",0.655038051394513,2020-07-18 03:27:07,"time_drift",0.0978977680206299,"A",27
"2488042",2020-07-18 01:27:07,492672,0.0096,150198.185484375,8750,71.999924,-66.570961,"3","mof_rts_00013",0.221977573615732,2020-07-18 03:27:07,"time_drift",0.481302976608276,"A",27
"2481559",2020-07-18 01:27:08,320288,0.0128,150198.359367188,10000,73.895203,-72.064667,"1","mof_rts_00013",0.0480947605974507,2020-07-18 03:27:08,"time_drift",0.129265785217285,"A",27
"2485133",2020-07-18 01:27:08,108016,0.0096,150198.552632812,4375,60.938641,-68.493034,"2","mof_rts_00013",0.145170863397652,2020-07-18 03:27:08,"time_drift",0.227833032608032,"A",27
"2488043",2020-07-18 01:27:08,496880,0.0128,150198.124992188,8750,71.636719,-66.570961,"3","mof_rts_00013",0.282469760597451,2020-07-18 03:27:08,"time_drift",0.225298643112183,"A",27
"2481560",2020-07-18 01:27:08,323184,0.0096,150198.497023438,11250,75.378159,-72.064667,"1","mof_rts_00013",0.0895614893815946,2020-07-18 03:27:08,"time_drift",0.129267692565918,"A",27
"2485134",2020-07-18 01:27:08,110928,0.0096,150198.645828125,4375,60.341583,-68.493034,"2","mof_rts_00013",0.23836617640336,2020-07-18 03:27:08,"time_drift",0.449933052062988,"A",27
"2481561",2020-07-18 01:27:09,326080,0.0096,150198.710929688,9375,70.72171,-72.064667,"1","mof_rts_00013",0.303467739402549,2020-07-18 03:27:09,"time_drift",0.132468223571777,"A",27
"2485135",2020-07-18 01:27:09,113840,0.0096,150198.616070312,3750,59.864975,-68.493034,"2","mof_rts_00013",0.208608363405801,2020-07-18 03:27:09,"time_drift",0.446732521057129,"A",27
