"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"5917022",2020-06-13 20:55:55,212720,0.0096,150127.083330322,5625,64.472389,-72.004066,"3","mof_rts_00006",0.384242288157111,2020-06-13 21:55:55,"time_drift",0.0348050594329834,"A",11
"5905724",2020-06-13 20:55:55,307600,0.0128,150125.822144958,43125,88.131401,-69.372131,"1","mof_rts_00006",1.64542765216902,2020-06-13 21:55:55,"time_drift",0.0877337455749512,"A",11
"5899641",2020-06-13 20:55:55,363152,0.0096,150126.820649292,6250,62.729542,-72.001694,"0","mof_rts_00006",0.646923318156041,2020-06-13 21:55:55,"time_drift",0.006561279296875,"A",11
"5917023",2020-06-13 20:55:55,215216,0.0096,150126.899035767,7500,67.749474,-71.306519,"3","mof_rts_00006",0.568536843144102,2020-06-13 21:55:55,"time_drift",0.0348012447357178,"A",11
"5905725",2020-06-13 20:55:55,310080,0.0096,150126.123479004,63125,93.176544,-70.028862,"1","mof_rts_00006",1.34409360616701,2020-06-13 21:55:55,"time_drift",0.224788188934326,"A",11
"5899642",2020-06-13 20:55:56,365632,0.0096,150126.601559692,5000,62.009239,-72.001694,"0","mof_rts_00006",0.866012918151682,2020-06-13 21:55:56,"time_drift",0.00218653678894043,"A",11
"5911246",2020-06-13 20:55:56,246304,0.0096,150127.259612549,3750,53.649933,-70.974403,"2","mof_rts_00006",0.207960061146878,2020-06-13 21:55:56,"time_drift",0.0181171894073486,"A",11
"5917024",2020-06-13 20:55:56,217696,0.0096,150127.187497314,2500,54.068779,-71.306519,"3","mof_rts_00006",0.280075296148425,2020-06-13 21:55:56,"time_drift",0.0348050594329834,"A",11
"5905726",2020-06-13 20:55:56,312576,0.0128,150126.973081665,75000,94.421936,-69.372131,"1","mof_rts_00006",0.494490945158759,2020-06-13 21:55:56,"time_drift",0.0833377838134766,"A",11
"5911247",2020-06-13 20:55:56,248784,0.0096,150127.232140137,3750,54.448193,-70.974403,"2","mof_rts_00006",0.235432473156834,2020-06-13 21:55:56,"time_drift",0.00101017951965332,"A",11
"5899643",2020-06-13 20:55:56,368128,0.0096,150126.744788696,6250,63.741875,-72.001694,"0","mof_rts_00006",0.722783914156025,2020-06-13 21:55:56,"time_drift",0.268013477325439,"A",11
"5905727",2020-06-13 20:55:56,315056,0.0128,150125.606966797,58750,91.63131,-69.372131,"1","mof_rts_00006",1.86060581315542,2020-06-13 21:55:56,"time_drift",0.0877337455749512,"A",11
"5899644",2020-06-13 20:55:57,370624,0.0096,150126.732951782,6875,64.34314,-72.001694,"0","mof_rts_00006",0.734620828152401,2020-06-13 21:55:57,"time_drift",0.00336074829101562,"A",11
"5917025",2020-06-13 20:55:57,222672,0.0096,150127.187497314,3750,57.27626,-72.004066,"3","mof_rts_00006",0.280075296148425,2020-06-13 21:55:57,"time_drift",0.0348012447357178,"A",11
"5905728",2020-06-13 20:55:57,317536,0.0096,150125.507810791,44375,89.429016,-69.372131,"1","mof_rts_00006",1.95976181916194,2020-06-13 21:55:57,"time_drift",0.0877337455749512,"A",11
"5911248",2020-06-13 20:55:57,253760,0.0096,150127.053568604,5625,60.393646,-70.974403,"2","mof_rts_00006",0.414004006161122,2020-06-13 21:55:57,"time_drift",0.00101399421691895,"A",11
"5899645",2020-06-13 20:55:57,373104,0.0096,150126.624997192,6875,64.259552,-72.001694,"0","mof_rts_00006",0.842575418151682,2020-06-13 21:55:57,"time_drift",0.0171036720275879,"A",11
"5917026",2020-06-13 20:55:57,225152,0.0096,150126.783085327,8750,71.699783,-72.004066,"3","mof_rts_00006",0.684487283142516,2020-06-13 21:55:57,"time_drift",0.122538805007935,"A",11
"5899646",2020-06-13 20:55:58,375600,0.0096,150126.599997192,6875,64.67411,-72.001694,"0","mof_rts_00006",0.867575418145862,2020-06-13 21:55:58,"time_drift",0.00336074829101562,"A",11
"5905729",2020-06-13 20:55:58,322496,0.0096,150124.924361755,43125,88.27774,-69.372131,"1","mof_rts_00006",2.54321085516131,2020-06-13 21:55:58,"time_drift",0.0909304618835449,"A",11
"5911249",2020-06-13 20:55:58,258736,0.0096,150127.222219238,2500,51.75098,-70.974403,"2","mof_rts_00006",0.245353372156387,2020-06-13 21:55:58,"time_drift",0.00437092781066895,"A",11
"5917027",2020-06-13 20:55:58,230128,0.0096,150126.927080566,6250,64.859962,-72.004066,"3","mof_rts_00006",0.540492044150597,2020-06-13 21:55:58,"time_drift",0.0348050594329834,"A",11
"5905730",2020-06-13 20:55:58,324992,0.0096,150126.09068335,11875,76.820702,-70.028862,"1","mof_rts_00006",1.37688926016563,2020-06-13 21:55:58,"time_drift",0.0877337455749512,"A",11
"5911250",2020-06-13 20:55:59,261216,0.0096,150127.04545166,3125,50.992958,-70.974403,"2","mof_rts_00006",0.422120950155659,2020-06-13 21:55:59,"time_drift",0.00421452522277832,"A",11
"5899647",2020-06-13 20:55:59,380576,0.0096,150126.75480481,6250,64.76593,-72.001694,"0","mof_rts_00006",0.712767800141592,2020-06-13 21:55:59,"time_drift",0.230007886886597,"A",11
"5917028",2020-06-13 20:55:59,232608,0.0096,150126.624997192,6875,66.699722,-71.306519,"3","mof_rts_00006",0.842575418151682,2020-06-13 21:55:59,"time_drift",0.0348012447357178,"A",11
"5905731",2020-06-13 20:55:59,327472,0.0096,150126.520830688,8124.999512,69.90152,-70.028862,"1","mof_rts_00006",0.946741922147339,2020-06-13 21:55:59,"time_drift",0.0909380912780762,"A",11
"5911251",2020-06-13 20:55:59,263696,0.0096,150126.874997192,5625,60.292961,-70.974403,"2","mof_rts_00006",0.592575418151682,2020-06-13 21:55:59,"time_drift",0.00741124153137207,"A",11
"5899648",2020-06-13 20:55:59,383072,0.0096,150126.620367676,6875,65.023453,-72.001694,"0","mof_rts_00006",0.847204934165347,2020-06-13 21:55:59,"time_drift",0.00016021728515625,"A",11
"5917029",2020-06-13 20:55:59,235104,0.0096,150126.834674683,8750,70.278481,-72.004066,"3","mof_rts_00006",0.632897927163867,2020-06-13 21:55:59,"time_drift",0.0316007137298584,"A",11
"5905732",2020-06-13 20:55:59,329952,0.0096,150126.410981934,16875,79.256683,-69.372131,"1","mof_rts_00006",1.05659067616216,2020-06-13 21:55:59,"time_drift",0.0941348075866699,"A",11
"5911252",2020-06-13 20:56:00,266192,0.0096,150127.07030957,5625,59.448502,-70.974403,"2","mof_rts_00006",0.39726304015494,2020-06-13 21:56:00,"time_drift",0.00757145881652832,"A",11
"5917030",2020-06-13 20:56:00,237584,0.0096,150126.849997192,6250,66.685822,-71.306519,"3","mof_rts_00006",0.617575418145862,2020-06-13 21:56:00,"time_drift",0.0348012447357178,"A",11
"5905733",2020-06-13 20:56:00,332448,0.0096,150126.323049194,19375,82.672173,-70.028862,"1","mof_rts_00006",1.14452341615106,2020-06-13 21:56:00,"time_drift",0.103736400604248,"A",11
"5911253",2020-06-13 20:56:00,268672,0.0096,150127.053568604,5625,60.51973,-70.289841,"2","mof_rts_00006",0.414004006161122,2020-06-13 21:56:00,"time_drift",0.00741124153137207,"A",11
"5899649",2020-06-13 20:56:00,388048,0.0096,150126.540175781,6875,65.365112,-72.001694,"0","mof_rts_00006",0.927396829152713,2020-06-13 21:56:00,"time_drift",0.261612415313721,"A",11
"5905734",2020-06-13 20:56:00,334928,0.0096,150126.710934814,20000,83.337578,-70.028862,"1","mof_rts_00006",0.756637796148425,2020-06-13 21:56:00,"time_drift",0.106933116912842,"A",11
