"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"2407310",2020-07-17 20:49:13,283632,0.0096,150198.281234375,9375,73.769051,-68.273048,"1","mof_rts_00013",0.126227573608048,2020-07-17 22:49:13,"time_drift",0.0902185440063477,"A",15
"2415096",2020-07-17 20:49:13,274496,0.0096,150196.5449375,23125,85.623421,-67.869003,"3","mof_rts_00013",1.86252444860293,2020-07-17 22:49:13,"time_drift",0.12581467628479,"A",15
"2411627",2020-07-17 20:49:13,230752,0.0128,150203.095609375,78750,93.918922,-68.456734,"2","mof_rts_00013",4.68814742640825,2020-07-17 22:49:13,"time_drift",0.03360915184021,"A",15
"2407311",2020-07-17 20:49:13,286544,0.0096,150198.890445312,23750,83.110817,-68.273048,"1","mof_rts_00013",0.482983363384847,2020-07-17 22:49:13,"time_drift",0.0902185440063477,"A",15
"2415097",2020-07-17 20:49:14,277408,0.0096,150199.124984375,25000,85.613716,-67.869003,"3","mof_rts_00013",0.717522426391952,2020-07-17 22:49:14,"time_drift",0.0445208549499512,"A",15
"2411628",2020-07-17 20:49:14,233648,0.0096,150193.424117188,111875,98.934662,-68.456734,"2","mof_rts_00013",4.983344760607,2020-07-17 22:49:14,"time_drift",0.0336132049560547,"A",15
"2407312",2020-07-17 20:49:14,289456,0.0128,150198.973757812,33750,86.90799,-70.402527,"1","mof_rts_00013",0.566295863391133,2020-07-17 22:49:14,"time_drift",0.0797328948974609,"A",15
"2415098",2020-07-17 20:49:14,280368,0.016,150198.50921875,28750,85.615143,-67.869003,"3","mof_rts_00013",0.101756801392185,2020-07-17 22:49:14,"time_drift",0.0445246696472168,"A",15
"2411629",2020-07-17 20:49:14,236560,0.0096,150198.830859375,1e+05,99.116699,-68.456734,"2","mof_rts_00013",0.423397426406154,2020-07-17 22:49:14,"time_drift",0.03360915184021,"A",15
"2407313",2020-07-17 20:49:14,292352,0.0096,150198.82378125,39375,87.486343,-70.402527,"1","mof_rts_00013",0.416319301381009,2020-07-17 22:49:14,"time_drift",0.0797309875488281,"A",15
