"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"2460442",2020-07-17 23:14:00,175152,0.0096,150199.27884375,3125,51.782894,-67.698227,"3","mof_rts_00013",0.871381801407551,2020-07-18 01:14:00,"time_drift",0.0294444561004639,"A",21
"2451752",2020-07-17 23:14:00,358704,0.0096,150198.256578125,9375,75.309853,-68.442245,"1","mof_rts_00013",0.15088382360409,2020-07-18 01:14:00,"time_drift",0.130016088485718,"A",21
"2446877",2020-07-17 23:14:00,34656,0.0096,150198.25,3750,58.360237,-68.932831,"0","mof_rts_00013",0.157461948605487,2020-07-18 01:14:00,"time_drift",0.00163412094116211,"A",21
"2456489",2020-07-17 23:14:00,211216,0.0096,150198.802078125,3125,58.039566,-67.811584,"2","mof_rts_00013",0.39461617640336,2020-07-18 01:14:00,"time_drift",0.1322922706604,"A",21
"2451753",2020-07-17 23:14:01,361648,0.0096,150198.020828125,11250,74.931786,-68.442245,"1","mof_rts_00013",0.38663382359664,2020-07-18 01:14:01,"time_drift",0.170048952102661,"A",21
"2456490",2020-07-17 23:14:01,214352,0.0096,150198.66071875,3125,57.56517,-67.811584,"2","mof_rts_00013",0.253256801399402,2020-07-18 01:14:01,"time_drift",0.0874924659729004,"A",21
"2451754",2020-07-17 23:14:01,364608,0.0096,150198.521335938,9375,74.875732,-68.442245,"1","mof_rts_00013",0.113873989408603,2020-07-18 01:14:01,"time_drift",0.107622385025024,"A",21
"2446878",2020-07-17 23:14:01,40448,0.0096,150198.66071875,3125,54.166782,-68.932831,"0","mof_rts_00013",0.253256801399402,2020-07-18 01:14:01,"time_drift",0.0528326034545898,"A",21
"2456491",2020-07-17 23:14:01,217264,0.0096,150198.66071875,3125,57.281521,-67.811584,"2","mof_rts_00013",0.253256801399402,2020-07-18 01:14:01,"time_drift",0.428351163864136,"A",21
"2451755",2020-07-17 23:14:02,367552,0.0096,150198.256578125,9375,74.730911,-68.442245,"1","mof_rts_00013",0.15088382360409,2020-07-18 01:14:02,"time_drift",0.0980160236358643,"A",21
"2446879",2020-07-17 23:14:02,43344,0.0096,150198.529414062,3750,58.928051,-68.932831,"0","mof_rts_00013",0.121952113404404,2020-07-18 01:14:02,"time_drift",0.0560340881347656,"A",21
"2456492",2020-07-17 23:14:02,220176,0.0096,150198.605765625,3125,57.395855,-67.811584,"2","mof_rts_00013",0.198303676384967,2020-07-18 01:14:02,"time_drift",0.0842881202697754,"A",21
"2460443",2020-07-17 23:14:02,186896,0.0096,150198.365382812,3750,53.613632,-67.698227,"3","mof_rts_00013",0.0420791366195772,2020-07-18 01:14:02,"time_drift",0.12579607963562,"A",21
