"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"3375889",2020-07-24 02:24:50,147424,0.0096,150198.571429688,8124.999512,66.084442,-68.319756,"3","mof_rts_00013",0.00673423521220684,2020-07-24 03:24:50,"time_drift",0.0390996932983398,"A",65
"3372004",2020-07-24 02:24:50,463648,0.0096,150198.210226562,5625,64.541367,-68.661217,"2","mof_rts_00013",0.367937361210352,2020-07-24 03:24:50,"time_drift",0.105947494506836,"A",65
"3364092",2020-07-24 02:24:50,128272,0.0096,150198.208335938,9375,68.020187,-69.083328,"0","mof_rts_00013",0.369827985210577,2020-07-24 03:24:50,"time_drift",0.0452289581298828,"A",65
"3368109",2020-07-24 02:24:50,464896,0.0128,150198.018609375,11250,75.668472,-70.310486,"1","mof_rts_00013",0.559554548206506,2020-07-24 03:24:50,"time_drift",0.0950112342834473,"A",65
"3372005",2020-07-24 02:24:50,466448,0.0096,150198.125,5625,66.211533,-68.661217,"2","mof_rts_00013",0.453163923200918,2020-07-24 03:24:50,"time_drift",0.0653505325317383,"A",65
"3364093",2020-07-24 02:24:51,131072,0.0096,150198.581078125,9375,72.001213,-69.083328,"0","mof_rts_00013",0.00291420178837143,2020-07-24 03:24:51,"time_drift",0.04522705078125,"A",65
"3368110",2020-07-24 02:24:51,467696,0.0128,150198.555554688,8750,75.538971,-70.310486,"1","mof_rts_00013",0.0226092351949774,2020-07-24 03:24:51,"time_drift",0.055915355682373,"A",65
"3375890",2020-07-24 02:24:51,153008,0.0096,150198.522726562,2500,55.895065,-68.319756,"3","mof_rts_00013",0.0554373612103518,2020-07-24 03:24:51,"time_drift",0.0390958786010742,"A",65
"3372006",2020-07-24 02:24:51,469248,0.0096,150198.4375,2500,54.22121,-68.661217,"2","mof_rts_00013",0.140663923200918,2020-07-24 03:24:51,"time_drift",0.0653524398803711,"A",65
"3364094",2020-07-24 02:24:51,133888,0.0096,150198.75,4375,63.679226,-69.083328,"0","mof_rts_00013",0.171836076799082,2020-07-24 03:24:51,"time_drift",0.0420246124267578,"A",65
"3368111",2020-07-24 02:24:51,470496,0.0128,150198.341828125,10000,74.919952,-70.310486,"1","mof_rts_00013",0.236335798195796,2020-07-24 03:24:51,"time_drift",0.0536298751831055,"A",65
"3375891",2020-07-24 02:24:51,155808,0.0096,150198.522726562,2500,53.726875,-68.52813,"3","mof_rts_00013",0.0554373612103518,2020-07-24 03:24:51,"time_drift",0.0390939712524414,"A",65
"3372007",2020-07-24 02:24:51,472048,0.0096,150198.322367188,4375,61.688583,-68.661217,"2","mof_rts_00013",0.255796735204058,2020-07-24 03:24:51,"time_drift",0.0626847743988037,"A",65
"3364095",2020-07-24 02:24:52,136688,0.0096,150198.810484375,7500,71.833496,-69.083328,"0","mof_rts_00013",0.232320451788837,2020-07-24 03:24:52,"time_drift",0.0420303344726562,"A",65
"3368112",2020-07-24 02:24:52,473296,0.0128,150198.352273438,8750,75.209831,-69.816223,"1","mof_rts_00013",0.225890485191485,2020-07-24 03:24:52,"time_drift",0.0536260604858398,"A",65
"3375892",2020-07-24 02:24:52,158608,0.0096,150198.4375,2500,54.825039,-68.319756,"3","mof_rts_00013",0.140663923200918,2020-07-24 03:24:52,"time_drift",0.039097785949707,"A",65
