"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"2446416",2020-07-17 23:08:13,133120,0.0096,150198.5080625,15625,79.439262,-68.932831,"0","mof_rts_00013",0.100600551406387,2020-07-18 01:08:13,"time_drift",0.389016628265381,"A",17
"2456072",2020-07-17 23:08:13,156496,0.0096,150198.198523438,8750,72.853004,-67.811584,"2","mof_rts_00013",0.208938510593725,2020-07-18 01:08:13,"time_drift",0.11750602722168,"A",17
"2451352",2020-07-17 23:08:13,181824,0.016,150190.246976562,119375,98.999733,-68.442245,"1","mof_rts_00013",8.16048538661562,2020-07-18 01:08:13,"time_drift",0.059877872467041,"A",17
"2446417",2020-07-17 23:08:13,135952,0.0096,150198.375,5625,61.597157,-68.932831,"0","mof_rts_00013",0.0324619486054871,2020-07-18 01:08:13,"time_drift",0.185550928115845,"A",17
"2456073",2020-07-17 23:08:14,159328,0.0096,150198.454859375,10000,73.174179,-67.811584,"2","mof_rts_00013",0.0473974263877608,2020-07-18 01:08:14,"time_drift",0.117504119873047,"A",17
"2451353",2020-07-17 23:08:14,184640,0.0192,150191.582539062,114375,97.758217,-68.442245,"1","mof_rts_00013",6.82492288661888,2020-07-18 01:08:14,"time_drift",0.0598797798156738,"A",17
"2446418",2020-07-17 23:08:14,138784,0.0096,150198.645828125,4375,61.500198,-68.932831,"0","mof_rts_00013",0.23836617640336,2020-07-18 01:08:14,"time_drift",0.385818004608154,"A",17
"2456074",2020-07-17 23:08:14,162160,0.0096,150198.666664062,6875,73.037796,-67.811584,"2","mof_rts_00013",0.259202113404172,2020-07-18 01:08:14,"time_drift",0.117504119873047,"A",17
"2451354",2020-07-17 23:08:14,187568,0.0192,150199.081890625,108125,96.511185,-68.442245,"1","mof_rts_00013",0.674428676400567,2020-07-18 01:08:14,"time_drift",0.059877872467041,"A",17
"2446419",2020-07-17 23:08:14,141600,0.0096,150197.968742188,5000,60.79451,-68.932831,"0","mof_rts_00013",0.438719760597451,2020-07-18 01:08:14,"time_drift",0.389016628265381,"A",17
