"","timestamp","samples","duration","signal_freq","signal_bw","max_signal","noise","receiver","station","sig_diff","fstamp","behaviour","timediff","tag","exmp"
"2446617",2020-07-17 23:10:15,211024,0.0096,150198.15340625,6250,65.283554,-68.932831,"0","mof_rts_00013",0.254055698605953,2020-07-18 01:10:15,"time_drift",0.312854766845703,"A",19
"2456250",2020-07-17 23:10:15,229040,0.0096,150198.75,4375,61.655216,-67.811584,"2","mof_rts_00013",0.342538051394513,2020-07-18 01:10:15,"time_drift",0.0355961322784424,"A",19
"2451530",2020-07-17 23:10:15,215312,0.0096,150198.495367188,6875,68.203369,-68.442245,"1","mof_rts_00013",0.0879052394011524,2020-07-18 01:10:15,"time_drift",0.112617492675781,"A",19
"2446618",2020-07-17 23:10:15,213856,0.0096,150197.9326875,6875,66.431595,-68.932831,"0","mof_rts_00013",0.474774448608514,2020-07-18 01:10:15,"time_drift",0.309654235839844,"A",19
"2456251",2020-07-17 23:10:16,231856,0.0096,150198.345585938,3750,61.128395,-67.811584,"2","mof_rts_00013",0.0618760106153786,2020-07-18 01:10:16,"time_drift",0.0355923175811768,"A",19
"2451531",2020-07-17 23:10:16,218128,0.0096,150198.46590625,6250,68.412567,-68.442245,"1","mof_rts_00013",0.0584443013940472,2020-07-18 01:10:16,"time_drift",0.221152067184448,"A",19
"2446619",2020-07-17 23:10:16,216688,0.0096,150198.125,6875,67.727249,-68.932831,"0","mof_rts_00013",0.282461948605487,2020-07-18 01:10:16,"time_drift",0.309654235839844,"A",19
"2456252",2020-07-17 23:10:16,234688,0.0096,150198.529414062,3750,61.432838,-67.811584,"2","mof_rts_00013",0.121952113404404,2020-07-18 01:10:16,"time_drift",0.0483944416046143,"A",19
"2451532",2020-07-17 23:10:16,221024,0.0096,150198.75,6875,68.236855,-68.442245,"1","mof_rts_00013",0.342538051394513,2020-07-18 01:10:16,"time_drift",0.0998191833496094,"A",19
"2446620",2020-07-17 23:10:16,219520,0.0096,150198.547289062,8124.999512,72.769951,-68.932831,"0","mof_rts_00013",0.139827113394858,2020-07-18 01:10:16,"time_drift",0.309658050537109,"A",19
"2456253",2020-07-17 23:10:17,237520,0.0096,150198.645828125,4375,61.523964,-67.811584,"2","mof_rts_00013",0.23836617640336,2020-07-18 01:10:17,"time_drift",0.0483944416046143,"A",19
"2451533",2020-07-17 23:10:17,223856,0.0096,150198.703695312,7500,68.445755,-68.442245,"1","mof_rts_00013",0.296233363391366,2020-07-18 01:10:17,"time_drift",0.0998153686523438,"A",19
"2446621",2020-07-17 23:10:17,222336,0.0096,150198.06546875,6250,62.854927,-68.932831,"0","mof_rts_00013",0.341993198613636,2020-07-18 01:10:17,"time_drift",0.361249208450317,"A",19
"2451534",2020-07-17 23:10:17,226688,0.0096,150198.525,6250,68.138351,-68.442245,"1","mof_rts_00013",0.117538051388692,2020-07-18 01:10:17,"time_drift",0.205149412155151,"A",19
"2446622",2020-07-17 23:10:17,225168,0.0096,150198.4375,2500,53.23188,-68.932831,"0","mof_rts_00013",0.0300380513945129,2020-07-18 01:10:17,"time_drift",0.312854766845703,"A",19
"2456254",2020-07-17 23:10:18,243184,0.0096,150198.3035625,5625,64.853638,-67.811584,"2","mof_rts_00013",0.103899448615266,2020-07-18 01:10:18,"time_drift",0.0483944416046143,"A",19
"2451535",2020-07-17 23:10:18,229520,0.0096,150198.84615625,6875,68.24736,-68.442245,"1","mof_rts_00013",0.438694301381474,2020-07-18 01:10:18,"time_drift",0.099822998046875,"A",19
"2446623",2020-07-17 23:10:18,228000,0.0096,150198.142851562,8124.999512,72.092751,-68.932831,"0","mof_rts_00013",0.264610386599088,2020-07-18 01:10:18,"time_drift",0.312854766845703,"A",19
"2456255",2020-07-17 23:10:18,246016,0.0096,150198.221148438,6875,69.398697,-67.811584,"2","mof_rts_00013",0.186313510610489,2020-07-18 01:10:18,"time_drift",0.0451939105987549,"A",19
"2451536",2020-07-17 23:10:18,232352,0.0096,150198.629804688,6875,68.341805,-68.442245,"1","mof_rts_00013",0.222342739405576,2020-07-18 01:10:18,"time_drift",0.103019714355469,"A",19
"2446624",2020-07-17 23:10:19,230832,0.0096,150197.996320312,8750,70.500839,-68.932831,"0","mof_rts_00013",0.411141636606772,2020-07-18 01:10:19,"time_drift",0.312854766845703,"A",19
"2456256",2020-07-17 23:10:19,248848,0.0096,150198.55,6250,69.386436,-67.811584,"2","mof_rts_00013",0.142538051382871,2020-07-18 01:10:19,"time_drift",0.0451939105987549,"A",19
"2451537",2020-07-17 23:10:19,235168,0.0096,150198.645835938,6250,68.537239,-68.442245,"1","mof_rts_00013",0.238373989384854,2020-07-18 01:10:19,"time_drift",0.208349943161011,"A",19
"2446625",2020-07-17 23:10:19,233664,0.0096,150198.035710938,6875,69.421158,-68.932831,"0","mof_rts_00013",0.371751010592561,2020-07-18 01:10:19,"time_drift",0.309658050537109,"A",19
"2456257",2020-07-17 23:10:19,251664,0.0096,150197.924992188,6250,68.818947,-67.811584,"2","mof_rts_00013",0.482469760609092,2020-07-18 01:10:19,"time_drift",0.0483944416046143,"A",19
