id,station,latitude,longitude
3,mof-rts-00003,50.840619,8.676398
4,mof-rts-00004,50.839860,8.671610
9,mof-rts-00009,50.842093,8.671812
11,mof-rts-00011,50.844200,8.677942
15,mof-rts-00015,50.837988,8.671643
